Output:

2018-03-23 08:38:39	Starting iteration: 1/19. Stock: Aker Solutions. Sample size: 125 
2018-03-23 08:40:24		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 46/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:25		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 48/1553. Distribution: Generalized Error Distribution. Model: sGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:26		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 49/1553. Distribution: Generalized Error Distribution. Model: sGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:27		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 50/1553. Distribution: Student Distribution. Model: sGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:33		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 51/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0111). Iterasjon fullført!
2018-03-23 08:40:33		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 55/1553. Distribution: Student Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:34		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 52/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:34		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 53/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:34		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 54/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:37		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 56/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:41		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 61/1553. Distribution: Student Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:42		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 57/1553. Distribution: Generalized Error Distribution. Model: sGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:43		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 58/1553. Distribution: Generalized Error Distribution. Model: sGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:43		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 60/1553. Distribution: Generalized Error Distribution. Model: sGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:46		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 62/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:46		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 59/1553. Distribution: Generalized Error Distribution. Model: sGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:53		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 63/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:40:55		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 66/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:03		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 68/1553. Distribution: Generalized Hyperbolic Skew Student Distribution. Model: sGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:05		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 65/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:05		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 64/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:08		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 69/1553. Distribution: Generalized Hyperbolic Skew Student Distribution. Model: sGARCH(1111). Iterasjon fullført!
2018-03-23 08:41:11				Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 67/1553. Distribution: Generalized Hyperbolic Skew Student Distribution. Model: eGARCH(1111). Error i ARMA GARCH fit!
2018-03-23 08:41:11		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 67/1553. Distribution: Generalized Hyperbolic Skew Student Distribution. Model: sGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:19		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 72/1553. Distribution: Generalized Hyperbolic Skew Student Distribution. Model: sGARCH(1111). Iterasjon fullført!
2018-03-23 08:41:19		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 70/1553. Distribution: Generalized Hyperbolic Skew Student Distribution. Model: sGARCH(1111). Iterasjon fullført!
2018-03-23 08:41:19		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 71/1553. Distribution: Generalized Hyperbolic Skew Student Distribution. Model: eGARCH(1011). Iterasjon fullført!
2018-03-23 08:41:21		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 75/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:23		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 73/1553. Distribution: Generalized Hyperbolic Skew Student Distribution. Model: gjrGARCH(0111). Iterasjon fullført!
2018-03-23 08:41:30		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 76/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:30		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 77/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:40		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 80/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:40		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 78/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:40		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 82/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:41		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 79/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:48		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 85/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:49		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 84/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:49		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 86/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:50		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 81/1553. Distribution: Generalized Hyperbolic Skew Student Distribution. Model: sGARCH(1111). Iterasjon fullført!
2018-03-23 08:41:50		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 83/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:57		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 87/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:58		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 89/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:41:59		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 90/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:00		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 91/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:04		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 88/1553. Distribution: Generalized Error Distribution. Model: eGARCH(1111). Iterasjon fullført!
2018-03-23 08:42:04		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 74/1553. Distribution: Generalized Hyperbolic Skew Student Distribution. Model: sGARCH(1111). Iterasjon fullført!
2018-03-23 08:42:09		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 92/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:10		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 94/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(1011). Iterasjon fullført!
2018-03-23 08:42:10		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 95/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:13		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 93/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:14		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 97/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:15		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 96/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:19		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 98/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:19		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 99/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:21		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 100/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(1111). Iterasjon fullført!
2018-03-23 08:42:23		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 101/1553. Distribution: Generalized Error Distribution. Model: eGARCH(1011). Iterasjon fullført!
2018-03-23 08:42:24		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 102/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0111). Iterasjon fullført!
2018-03-23 08:42:26		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 103/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0111). Iterasjon fullført!
2018-03-23 08:42:30		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 105/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:30		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 104/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:33		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 107/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0111). Iterasjon fullført!
